ID,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,Subsection Name,Subsection Description,NTEE_CD,Category,IRS_NTEE_Code2_Description,AFFILIATION,Aff_Type,IRS_Affiliation_Codes_Description,Ded_Code,Ded_Description,Foundation_Code,Foundation_Description,Org_Code,Org_Description,EO_Status_Code,EO_Description,Asset_Income_Code,IRS_Asset_Income_Codes_Description,Filing_Code,IRS_Filing_Codes_Description,PF_Filing_Code,IRS_PF_Filing_Codes_Description,ASSET_AMT,INCOME_AMT,REVENUE_AMT
1,660372757,ASOCIACION FOMENTO EDUCATIVO INC,,A48 CALLE A,GUAYNABO,PR,00966-2200,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
2,660372891,VIRGIN ISLANDS OLYMPIC COMMITTEE INC,,PO BOX 1576,ST CROIX,VI,00841-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,84607
3,660373386,FOUNDATION FOR THE REICHHOLD CENTER FOR THE ARTS,,2 JOHN BREWERS BAY,ST THOMAS,VI,00802-6004,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,11381888
,660373751,COLEGIO RADIANS INC,,PO BOX 371298,CAYEY,PR,00737-1298,Charitable and religious,Charitable and religious,B200,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660374268,ASOCIACION DE PERSONAS CON IMPEDIME NTOS INC,,PO BOX 1358,SAN GERMAN,PR,00683-1358,Charitable and religious,Charitable and religious,B28,Education,Specialized Education Institutions,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,177062
,660375744,EL CALVARIO ASAMBLEA DE DIOS,,PO BOX 4009,GUAYNABO,PR,00970-4009,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660375773,PRIMERAL IGLESIA ASAMBLEA DE DIOS,,I1 CALLE 7,YAUCO,PR,00698-3422,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660375790,TEATRO DEL 60 INC,,PO BOX 360727,SAN JUAN,PR,00936-0727,Charitable and religious,Charitable and religious,A650,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,3,25,000 to 99,,999,,1,0,20468
,660376145,APNI INC,,PO BOX 21280,SAN JUAN,PR,00928-1280,Charitable and religious,Charitable and religious,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660376657,DORADO COMMUNITY CHURCH,,PO BOX 827,DORADO,PR,00646-0827,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,6,0,
,660377342,CENTRO DE EDUCACION MULTIDISCIPLINARIA INC,% CENTRO DE EDUCACION MULTIDISCIPLI,PO BOX 191317,SAN JUAN,PR,00919-1317,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660377770,UNITED WAY OF ST THOMAS-ST JOHN INC,,8000 NISKY CENTER 220,ST THOMAS,VI,00802-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,400460
,660378715,COUNCIL ON ALCOHOLISM & DRUG DEPENDENCE ST THOMAS & ST JOHN,% SHELLEY WILLIAMS,PO BOX 380,ST THOMAS,VI,00804-0380,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,4,100,000 to 499,,999,,0,0,25684
,660379122,PONCE MEDICAL SCHOOL FOUNDATION INC,,PO BOX 7004,PONCE,PR,00732-7004,Charitable and religious,Charitable and religious,B500,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660380485,COLEGIO UNIVERISTARIO BAUTISTA DE PUERTO RICO,,PO BOX 403,BAYAMON,PR,00960-0403,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,3,Co-operative,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,180557
,660380848,CENTRO DE ESTUDIOS AVANZADOS DE PUERTO RICO INC,,PO BOX 9023970,SAN JUAN,PR,00902-3970,Charitable and religious,Charitable and religious,B50Z,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660381247,IGLESIA CARISMATICA DE ADJUNTAS INC,% REV NILDA PEREZ DIAZ,4 CALLE GARZAS,ADJUNTAS,PR,00601-2108,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,660382603,FONT MARTELLO HOME CARE PROGRAM INC,,PO BOX 3856,GUAYNABO,PR,00970-3856,Charitable and religious,Charitable and religious,E99Z,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660384025,WATER ISLAND CIVIC ASSOCIATION INCORPORATED,,1 WATER ISLE,ST THOMAS,VI,00802-7800,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,S20,Community Improvement,, Capacity Building,Community, Neighborhood Development,, Improvement (General),3,Independent,2,Contributions are not deductible. ,,1,,Corporation,,1,Unconditional Exemption,3
,660385902,FUNDACION LUIS MUNOZ MARIN INC,,RR2 APARTADO 5,SAN JUAN,PR,00926-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660386159,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% GLADYS PAGAN,PO BOX 3202,MAYAGUEZ,PR,00681-3202,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,3,,25,000 to 99,999
,660386937,IGLESIA EMMANUEL ASAMBLEA DE DIOS,,PO BOX 372863,CAYEY,PR,00737-2863,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660387277,OFICINA LEGAL DE LA COMUNIDAD INC,% CIRA RODRIGUEZ,PO BOX 194735,SAN JUAN,PR,00919-4735,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660387455,PRO ARTE MUSICAL INC,,PO BOX 361812,SAN JUAN,PR,00936-1812,Charitable and religious,Charitable and religious,A68,Arts, Culture and Humanities,Music,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,4,100,,000 to 499,,999,1,0
,660387659,CASA PROTEGIDA JULIA DE,,PO BOX 362433,SAN JUAN,PR,00936-2433,Charitable and religious,Charitable and religious,P43,Human Services - Multipurpose and Other,Family Violence Shelters, Services,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,6,1,,0,,000 to 4,999,999
,660388345,MANOR SCHOOLS INC 236 LA GRANDE PRINCESSE,,4236 LA GRANDE PRINCESSE,CHRISTIANSTED,VI,00820-0000,Charitable and religious,Charitable and religious,B20,Education,Elementary, Secondary Education, K - 12,,3,Independent,1,,Contributions are deductible. ,11,1,Corporation,1,Unconditional Exemption,4,,100,,000 to 499,999,0
,660388811,COLEGIO NUESTRA SRA DEL ROSARIO HATO TEJAS,,AA7 CALLE 5,BAYAMON,PR,00959-3719,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,11,,5,Association,1,Unconditional Exemption,0,0,13,,0,,,,
,660388818,LA TIERRA PROMETIDA INC,,PO BOX 3762,AGUADILLA,PR,00605-3762,Charitable and religious,Charitable and religious,F21,Mental Health, Crisis Intervention,Alcohol, Drug Abuse,, Prevention Only,3,Independent,,1,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,,4,,100,000 to 499,999
,660389394,ACADEMIA CRISTIANA COHELET DEL CENTRO,,PO BOX 2017,LAS PIEDRAS,PR,00771-2017,Charitable and religious,Charitable and religious,B20,Education,Elementary, Secondary Education, K - 12,,3,Independent,1,,Contributions are deductible. ,11,1,Corporation,1,Unconditional Exemption,5,,500,,000 to 999,999,1
,660389527,CASA CASTANER INC,% DOMINGO MONROIG RUIZ,PO BOX 1026,CASTANER,PR,00631-1026,Charitable and religious,Charitable and religious,L22,Housing, Shelter,Senior Citizens' Housing/Retirement Communities,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,5,500,,000 to 999,,999,1,0
,660390495,SOUTHERN EDUCATIONAL FUND INC,% FONDO EDUCATIVO DEL SUR INC,1814 ALCAZAR ST LA ALHAMBRA,PONCE,PR,00716-0000,Charitable and religious,Charitable and religious,O20,Youth Development,Youth Centers, Clubs, Multipurpose,,3,Independent,1,,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,4,,100,,000 to 499,999,1
,660390654,CENTRO CULTURAL Y DE SERVICIOS DE CANTERA INC,,PO BOX 7152,SAN JUAN,PR,00916-7152,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,271896
,660390749,BALLET CONCIERTO DE PUERTO RICO INC,,PO BOX 41265,SAN JUAN,PR,00940-1265,Charitable and religious,Charitable and religious,A630,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,419573
