ID,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,Subsection Name,Subsection Description,NTEE_CD,Category,IRS_NTEE_Code2_Description,AFFILIATION,Aff_Type,IRS_Affiliation_Codes_Description,Ded_Code,Ded_Description,Foundation_Code,Foundation_Description,Org_Code,Org_Description,EO_Status_Code,EO_Description,Asset_Income_Code,IRS_Asset_Income_Codes_Description,Filing_Code,IRS_Filing_Codes_Description,PF_Filing_Code,IRS_PF_Filing_Codes_Description,ASSET_AMT,INCOME_AMT,REVENUE_AMT,ACCESS_CODE
1,260049,CORINTH BAPTIST CHURCH,,PO BOX 92,HOSFORD,FL,32334-0092,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL26-7283-5461C
2,490336,EASTSIDE BAPTIST CHURCH,,PO BOX 296,LABELLE,FL,33975-0296,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL49-1374-1865E
14,10550947,MELBOURNE ASSEMBLY OF BODY OF CHRIST CHURCH,% TECHELET TADOR,PO BOX 101384,PALM BAY,FL,32910-1384,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-1513-8683M
17,10552147,GRACE & TRUTH HOLINESS DELIVERANCE CHURCH INC,% BISHOP LEE A OLIVER SR,556 PINEHURST CV,KISSIMMEE,FL,34758-3647,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-1952-4372G
40,10567148,GRACEWAY COMMUNITY CHURCH A SOUTHERN BAPTIST CHURCH,% SMITH MILTON PASTOR,15873 COUNTY ROAD 6 E,JASPER,FL,32052-6570,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-2918-1776G
53,10574426,CHRIST FOR THE NATIONS CHURCH,% CORNELIUS GRAHAM,9762 N GRANDUKE CIR,TAMARAC,FL,33321-6308,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-3859-1657C
60,10579209,SAND HILL BAPTIST CHURCH,% PAM ADAMS,PO BOX 1840,BRONSON,FL,32621-1840,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,,,10,Church 170(b)(1)(A)(i),,,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8997-2071S
66,10583526,NEW HOPE FELLOWSHIP INTERNATIONAL CHURCH INC,% MOCK CURTIS R SR,16701 JENNY LN,LOXAHATCHEE,FL,33470-4127,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,,,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-2887-1985N
68,10583754,LUTHERAN CHURCH MISSOURI SYNOD,,1200 CIRCLE DR,DEFUNIAK SPGS,FL,32435-2505,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8023-2413L
77,10591005,NEW LIFE COMMUNITY CHURCH OF PLANT CITY INC,% FRED HARROLD JR,PO BOX 5199,PLANT CITY,FL,33563-0039,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-1754-6902N
